timestamp,x,y,z
1694316,-0.061,0.305,0.0
1695320,-0.061,0.427,-0.183
1696324,-0.061,-0.122,0.122
1697328,1.77,0.305,0.977
1698333,-0.183,0.244,-0.061
1699337,-0.061,0.183,0.0
1700342,-0.061,0.244,0.0
1701346,0.0,0.061,0.122
1702351,-0.183,0.244,-0.061
1703355,0.0,0.244,-0.061
1704359,-0.061,0.183,0.0
1705363,0.061,0.305,-0.061
1706367,0.671,0.183,0.427
1707372,-0.732,0.427,-0.366
1708375,0.427,0.244,0.061
1709381,-0.183,0.244,-0.061
1710384,0.061,0.122,0.183
1711388,0.488,0.916,-0.183
1712392,0.122,0.183,0.183
1713395,0.244,0.305,0.0
1714398,0.0,0.183,0.061
1715403,-0.122,0.183,0.0
1716407,-0.183,0.183,0.0
1717410,-0.244,0.122,0.0
1718415,-0.061,0.122,-0.061
1719419,0.0,0.366,0.0
1720423,-0.183,0.305,-0.122
1721426,0.061,0.244,0.0
1722430,0.0,0.244,0.0
1723433,-2.441,4.333,-4.089
1724438,0.549,0.244,0.122
1725441,1.282,0.183,0.366
1726445,-0.427,0.122,-0.244
1727448,0.244,0.488,-0.183
1728452,-0.183,0.549,-0.183
1729456,-0.183,0.0,-0.122
1730460,0.244,0.488,-0.244
1731464,-0.061,0.183,0.0
1732469,0.183,0.122,0.061
1733473,-0.366,0.244,-0.122
1734477,-0.122,0.0,0.305
1735481,-0.427,0.244,-0.244
1736485,-0.977,0.061,-0.305
1737489,-0.366,0.061,-0.122
1738493,0.366,0.549,0.183
1739497,-0.122,0.427,-0.549
1740501,-0.305,0.427,-0.244
1741505,-0.122,0.244,0.0
1742509,0.244,0.061,0.0
1743513,-0.305,-0.122,0.061
1744517,0.061,0.305,0.0
1745522,0.916,0.244,0.366
1746527,-0.061,0.244,-0.061
1747532,0.061,0.061,0.122
1748537,-0.305,0.0,0.061
1749541,0.0,0.305,-0.061
1750545,-0.183,0.366,-0.122
1751549,-0.061,0.183,0.0
1752553,0.0,0.244,0.0
1753557,-0.061,0.244,-0.122
1754561,-0.183,0.183,-0.061
1755567,-0.061,0.183,-0.061
1756571,-0.061,0.183,0.0
1757575,-0.061,0.183,-0.061
1758579,-0.122,0.244,-0.061
1759584,-0.061,0.183,0.061
